Time (s),Speed (RPM),,Cycle,Number of Revolutions
3.1667,2899.4,,,
3.1708,2950.3,,,
3.175,3054.2,,,
3.1792,3229.8,,,
3.1833,3491.9,,,
3.1875,3820.7,,,
3.1917,4168.4,,,
3.1958,4484.2,,,
3.2,4752.7,,,
3.2042,4989.5,,,
3.2083,5200,,,
3.2125,5371.1,,,
3.2167,5485.8,,,
3.2208,5554.8,,,
3.225,5610.5,,,
3.2292,5666.9,,,
3.2333,5713.2,,,
3.2375,5730.9,,,
3.2417,5693.1,,,
3.2458,5577.3,,,
3.25,5378,,,
3.2542,5108.9,,,
3.2583,4796.6,,,
3.2625,4471,,,
3.2667,4158.3,,,
3.2708,3876.8,,,
3.275,3636.5,,,
3.2792,3440.3,,,
3.2833,3285.8,,,
3.2875,3168.1,,,
3.2917,3080.9,,,
3.2958,3017.7,,,
3.3,2973,,,
3.3042,2942,,,
3.3083,2920.8,,,
3.3125,2906.5,,,
3.3167,2897.1,,,
3.3208,2890.9,,,
3.325,2886.9,,,
3.3292,2884.3,,,
3.3333,2882.7,,,
3.3375,2881.6,,,
3.3417,2881,,,
3.3458,2895.6,,,
3.35,2947.9,,,
3.3542,3052.7,,,
3.3583,3228.9,,,
3.3625,3491.3,,,
3.3667,3820.4,,,
3.3708,4168.2,,,
3.375,4484.1,,,
3.3792,4718.9,,,
3.3833,4837.6,,,
3.3875,4830.6,,,
3.3917,4712.9,,,
3.3958,4516,,,
3.4,4275.8,,,
3.4042,4024.7,,,
3.4083,3786.8,,,
3.4125,3576.7,,,
3.4167,3401,,,
3.4208,3275.4,,,
3.425,3219.3,,,
3.4292,3243,,,
3.4333,3326.2,,,
3.4375,3428.3,,,
3.4417,3510.4,,,
3.4458,3549.2,,,
3.45,3539.8,,,
3.4542,3505.1,,,
3.4583,3481.7,,,
3.4625,3499,,,
3.4667,3553.7,,,
3.4708,3617.9,,,
3.475,3660.8,,,
3.4792,3664.1,,,
3.4833,3624.8,,,
3.4875,3566.4,,,
3.4917,3524.9,,,
3.4958,3528.9,,,
3.5,3574,,,
3.5042,3631.4,,,
3.5083,3669.8,,,
3.5125,3669.9,,,
3.5167,3628.5,,,
3.5208,3568.7,,,
3.525,3526.4,,,
3.5292,3529.8,,,
